Longitude,Latitude,Name,Street,City,Zip,State
-151.820102,59.773222,Fireweed Meadows Golf Course,Mylofritz Ave,Anchor Point,99556,AK
-149.814495,61.127089,Anchorage Golf Course,3651 Omalley Rd,Anchorage,99507,AK
-149.788303,61.206435,Russian Jack Springs Golf Course,1600 Lidia Selkregg Ln,Anchorage,99508,AK
-149.853757,61.113415,Tanglewood Lakes Golf Club,11801 Brayton Dr,Anchorage,99516,AK
-149.824373,61.233041,Eagleglen Golf Course,4414 1st St,Elmendorf Afb,99506,AK
-147.816536,64.877632,Fairbanks Golf and Country Club,1735 Farmers Loop Rd,Fairbanks,99709,AK
-147.613637,64.89708,North Star Golf Course,330 Golf Club Dr,Fairbanks,99712,AK
-149.542309,61.24357,Moose Run Golf Course,27000 Artic Valley Road,Fort Richardson,99505,AK
-147.626814,64.814935,Chena Bend Golf Course,2092 Building Gafeney,Fort Wainwright,99703,AK
-135.742963,58.420408,Mount Fairweather Golf Course,1 Mile Dock Road,Gustavus,99826,AK
-135.481298,59.239917,Valley of the Eagles Golf Links,1 1/2 Mile Haines Hwy,Haines,99827,AK
-149.039817,63.848484,Black Diamond Golf Course,Mile 247 George Park Hwy Otto Lake Rd,Healy,99743,AK
-151.370752,59.692919,Kachemak Bay Links Par 3 Golf,56910 East Rd,Homer,99603,AK
-134.610092,58.361763,Mendenhall Golf Course,The End of Industrial Blvd,Juneau,99801,AK
-151.183901,60.559592,Kenai Golf Course,1420 Lawton Dr,Kenai,99611,AK
-152.527572,57.772932,Bear Valley Golf Course,2 8 Mile Anton Larsen Bay Rd,Kodiak,99615,AK
-151.291629,60.690101,Cottonwood Country Club,Mile Post 32,Nikiski,99635,AK
-149.087712,61.584757,Palmer Golf Course,1000 Lepak Avenue,Palmer,99645,AK
-135.395965,57.101605,Sea Mountain Golf Course,301 Granite Creek Rd,Sitka,99835,AK
-151.007643,60.499382,Birch Ridge Golf Course Inc,42223 Sterling Hwy,Soldotna,99669,AK
-150.856551,60.498969,Bird Homestead Golf Course,37109 Funny River Rd,Soldotna,99669,AK
-149.613961,61.504628,Settlers Bay Golf Course,Mile 8 Knik Goose Bay Road,Wasilla,99687,AK
-149.382193,61.655225,Sleepy Hollow Golf Course,2721 E Sleepy Hollow Cir,Wasilla,99654,AK
-132.356586,56.473241,Muskeg Meadows Golf Course,Ishiyama Dr,Wrangell,99929,AK
-86.198381,34.296785,Albertville Golf & Country Club,860 Country Club Rd,Albertville,35951,AL
-86.11883,34.3553,Willow Brook Golf Corp,134 Par Dr,Albertville,35951,AL
-85.976846,32.788959,Willow Point Golf & Country Club,3054 Willow Point Rd,Alexander City,35010,AL
-88.141013,33.102758,Aliceville Country Club,Highway 14 North,Aliceville,35442,AL
-86.300495,33.434675,Alpine Bay Resort,9855 Renfroe Rd,Alpine,35014,AL
-86.435707,34.113605,Whippoorwill Golf Club,2920 County Highway 14,Altoona,35952,AL
-86.451201,31.321218,Evans Barnes Golf Course,Lurleen B Wallace Jr College,Andalusia,36420,AL
-86.511445,31.315197,Andalusia Country Club,210 Country Club Dr,Andalusia,36421,AL
-86.377095,31.344885,Old Pine Golf Course,24908 Harmony Church Rd,Andalusia,36421,AL
-85.810966,33.665031,Anniston Municipal Golf Course,1341 Johnston Dr,Anniston,36207,AL
-85.792399,33.71603,Cane Creek Golf Course,2247 Baltzell Gate Road,Anniston,36205,AL
-85.818524,33.651845,Anniston Country Club,601 Highland Ave,Anniston,36207,AL
-85.87225,33.730704,Indian Oaks Golf Club,201 Cherokee Trl,Anniston,36206,AL
-85.703307,33.671577,Pine Hill Country Club,175 Pine Hill Dr,Anniston,36207,AL
-86.511111,34.326222,Brookside Golf Course,Sundown Drive,Arab,35016,AL
-86.498066,34.343263,Twin Lakes Golf Course,211 Golfview Dr NE,Arab,35016,AL
-85.798765,33.280444,Clay County Golf Course,158 Country Club Rd,Ashland,36251,AL
-86.954304,34.759613,Athens Golf & Country Club,518 Hatfield Lake Rd,Athens,35611,AL
-86.91543,34.763744,Canebrake Golf Club,23015 Founders Cir,Athens,35613,AL
-86.857802,34.802979,Chriswood Golf Course,26181 Nick Davis Road,Athens,35611,AL
-86.875101,34.879828,Southern Gayles Golf Community,22230 Mooresville Rd,Athens,35613,AL
-87.492589,31.02483,Atmore Country Club,4474 Highway 31 South,Atmore,36504,AL
-86.096727,34.009726,Wills Creek Country Club,216 Country Club Rd,Attalla,35954,AL
-85.441306,32.62367,Indian Pines Golf Course,900 Country Club Dr,Auburn,36830,AL
-85.505203,32.632656,The Auburn University Club,1650 Yarbrough Farms Blvd,Auburn,36830,AL
-85.507329,32.554634,Auburn Links At Mill Creek,826 Shell Toomer Pkwy,Auburn,36830,AL
-85.445537,32.580497,Moore's Mill Golf Club,1957 Fairway Dr,Auburn,36830,AL
-87.773055,30.787791,Holly Hills Country Club,Highway 59 South,Bay Minette,36507,AL
-86.991577,33.367315,Frank House Municipal Golf Course,801 Golf Course Rd,Bessemer,35022,AL
-86.957834,33.428521,Woodward Golf & Country Club,2141 Wheel Dr,Bessemer,35020,AL
-86.973348,33.33316,Bent Brook Golf Course,7900 Dickey Springs Rd,Bessemer,35022,AL
-86.711209,33.582031,Roebuck Municipal Golf Course,8920 Roebuck Blvd,Birmingham,35206,AL
-86.642887,33.645754,Grayson Valley Country Club,2201 Grayson Valley Dr,Birmingham,35235,AL
-86.651369,33.429533,Greystone Golf & Country Club,4100 Greystone Dr,Birmingham,35242,AL
-86.622465,33.454637,Greystone Golf & Country Club,330 Legacy Way,Birmingham,35242,AL
-86.81748,33.399573,Hoover Country Club,3140 Club Dr,Birmingham,35226,AL
-86.653914,33.527852,Pine Tree Country Club,5100 Pine Whispers Dr,Birmingham,35210,AL
-86.772297,33.454757,Vestavia Country Club,400 Beaumont Dr,Birmingham,35216,AL
-86.744309,33.495525,Mountain Brook Club,19 Beechwood Rd,Birmingham,35213,AL
-86.748825,33.417863,Altadena Valley Golf & Country Club,2651 Alta Vista Dr,Birmingham,35243,AL
-86.749207,33.397505,Heatherwood Country Club,400 Saint Annes Dr,Birmingham,35244,AL
-86.766597,33.496983,Inverness Country Club,1 Country Club Drive,Birmingham,35242,AL
-86.826049,33.338098,Riverchase Country Club,2000 Club Rd,Birmingham,35244,AL
-86.765447,33.49841,Country Club of Birmingham,3325 Country Club Rd,Birmingham,35213,AL
-86.669263,33.399671,Eagle Point Golf Club,4500 Eagle Point Dr,Birmingham,35242,AL
-86.877968,33.419409,Robert Trent Jones Golf Trail At Oxmoor Valley,100 Sunbelt Pkwy,Birmingham,35211,AL
-86.879498,33.392116,Ross Bridge Golf Resort,167 Sunbelt Pkwy,Birmingham,35211,AL
-86.89096,33.468352,West Side Golf Center,3501 Cleburn Ave SW,Birmingham,35221,AL
-86.779392,33.512479,Highland Park Golf Course,3300 Highland Ave S,Birmingham,35205,AL
-86.153561,34.173445,Boaz Golf Club,1715 Al Highway 205,Boaz,35956,AL
-87.068132,31.144816,Dogwood Hills Golf Course,2385 Douglas Ave,Brewton,36426,AL
-87.059413,31.209551,Country Club of Brewton,700 Clubhouse Rd,Brewton,36426,AL
-87.33057,33.237681,Capstone Golf Club,16000 Capstone Blvd,Brookwood,35444,AL
-85.816771,31.7202,Brundidge Country Club,Spring Hill Road,Brundidge,36010,AL
-85.661585,34.974544,Hidden Valley Golf Course,607 County Road 393,Bryant,35958,AL
-88.188385,32.090062,Choctaw Country Club,Country Club Drive,Butler,36904,AL
-86.734914,33.102898,Timberline Golf Club,300 Timberline Trl,Calera,35040,AL
-87.245535,32.055353,Roland Cooper State Park Golf Course,285 Deer Run Dr,Camden,36726,AL
-85.647439,34.112623,Cherokee Country Club,Off Highway 9,Centre,35960,AL
-87.137499,32.968185,Cahaba Falls Country Club,530 2nd Street North,Centreville,35042,AL
-88.205439,31.454237,Deerfield Country Club,16461 Saint Stephens Ave,Chatom,36518,AL
-86.71452,33.322705,Deer Valley Links,246 Cain Rd,Chelsea,35043,AL
-86.358914,33.334061,Coosa Pines Golf Course,16615 Plant Rd,Childersburg,35044,AL
-88.310005,31.073651,Mill Creek,18350 Lakeview Dr,Citronelle,36522,AL
-86.609619,32.81974,Clanton Country Club,1 Country Club Drive,Clanton,35045,AL
-86.605427,33.169582,Magnolia Meadows Golf Course,315 Highway 47 S,Columbiana,35051,AL
-87.134163,33.791068,Riverbend Golf Course,1612 Mountain View Rd,Cordova,35550,AL
-87.351811,34.670338,Valley Landing Golf Course,985 County Road 595,Courtland,35618,AL
-85.306541,31.226876,Roundabout Plantation,321 Roundabout Dr,Cowarts,36321,AL
-86.889256,34.224233,Terri Pines Country Club,700 Pine Hill Dr,Cullman,35057,AL
-86.670194,34.249113,Chesley Oaks Golf Course,1035 County Road 1583,Cullman,35058,AL
-85.805971,32.745816,StillWaters Golf and Country Club,797 Moonbrook Dr,Dadeville,36853,AL
-87.895203,30.649638,Lake Forest Yacht & Country Club,1 Golf Ter,Daphne,36526,AL
-88.11597,30.247426,Isle Dauphine Club Golf Course,100 Orleans Dr,Dauphin Island,36528,AL
-86.930105,34.545337,Point Mallard Golf Club,2600A Point Mallard Pkwy SE,Decatur,35603,AL
-86.96625,34.567514,Decatur Country Club,2401 Country Club Rd SE,Decatur,35601,AL
-86.933742,34.518897,Burningtree Country Club,2521 Burningtree Dr SE,Decatur,35603,AL
-87.049833,34.561342,Cedar Ridge Golf Course,3030 Modaus Rd SW,Decatur,35603,AL
-86.931083,34.494825,Indian Hills Golf Course,127 Par Dr,Decatur,35603,AL
-87.791047,32.486124,The Ravine Golf Course,748 Sportsplex Road,Demopolis,36732,AL
-87.859405,32.499999,Demopolis Country Club,1620 Country Club Dr,Demopolis,36732,AL
-87.058918,33.750913,Horse Creek Golf Club,1745 Highway 78,Dora,35062,AL
-85.417632,31.22387,Dothan Country Club,200 S Cherokee Ave,Dothan,36301,AL
-85.404517,31.120801,Dothan National Golf Club & Hotel,7410 S U S 231,Dothan,36301,AL
-85.421542,31.15937,Green Hill Golf Course,2600 Campbellton Hwy,Dothan,36301,AL
-85.49638,31.226907,Highland Oaks Golf Course,904 Royal Pkwy,Dothan,36305,AL
-85.49638,31.226907,Highland Oaks Par 3 Golf Course,904 Royal Pkwy,Dothan,36305,AL
-88.168015,30.756027,High Pointe Golf Club,4603 Golfway Dr,Eight Mile,36613,AL
-86.097119,31.437234,Elba Country Club,1477 Country Club Way,Elba,36323,AL
-87.547564,30.403182,Soldiers Creek Golf Club At Woerner Preserve,12096 County Road 95,Elberta,36530,AL
-86.956142,33.792773,Marcum Golf Course,9621 Bagley Rd,Empire,35063,AL
-85.831816,31.360296,Enterprise Country Club,3000 Ozark Hwy,Enterprise,36330,AL
-85.879854,31.312646,Tartan Pines Golf Club,423 Tartan Way,Enterprise,36330,AL
-85.114176,31.98767,Lake Point Resort State Park Golf Course,104 Lakepoint Dr,Eufaula,36027,AL
-85.172012,31.88752,Eufaula Country Club,2650 Country Club Rd,Eufaula,36027,AL
-85.157631,31.821922,Red Eagle Golf Course,101 Merion Dr,Eufaula,36027,AL
-87.938072,32.852601,Greene County Golf Course,Lower Gainesville Road,Eutaw,35462,AL
-86.887753,31.43712,Evergreen Golf Course,Highway 31 North,Evergreen,36401,AL
-87.844066,30.513396,Quail Creek Golf Course,19841 Quail Creek Dr,Fairhope,36532,AL
-87.88837,30.573041,Rock Creek Golf Club,140 Clubhouse Dr,Fairhope,36532,AL
-87.872075,33.685932,Fayette Country Club,303 County Road 16,Fayette,35555,AL
-85.658124,34.824072,Dogwood Hills Golf Club,26460 Al Highway 71,Flat Rock,35966,AL
-87.630083,34.861748,Blackberry Trail Golf Course,112 Clubhouse Dr,Florence,35630,AL
-87.714906,34.810585,Florence Golf & Country Club,450 Country Club Dr,Florence,35630,AL
-87.637127,30.364024,Glenlakes Golf Club,9530 Clubhouse Dr,Foley,36535,AL
-87.682934,30.357377,Gulf Links Executive Golf Course,3901 S McKenzie St,Foley,36535,AL
-87.768043,30.381983,Magnolia Springs Golf,10831 Magnolia Springs Hwy,Foley,36535,AL
-85.694491,34.462253,De Soto Country Club,502 Crystal Lake Dr NE,Fort Payne,35967,AL
-85.687898,34.509586,Terrapin Hills Country Club,5501 Club Dr NW,Fort Payne,35967,AL
-85.692736,31.352046,Silver Wings Golf Course,Combat Road Bldg 20067,Fort Rucker,36362,AL
-85.985059,34.025973,Twin Bridges Golf Course,901 Riverbend Dr,Gadsden,35901,AL
-86.012825,33.975807,Gadsden Country Club,1884 Rainbow Dr,Gadsden,35901,AL
-85.986479,34.01053,River Trace Golf Club,464 Nowlin St,Gadsden,35903,AL
-86.781718,33.660967,Castle Pines Country Club,1600 Quail Ridge Dr,Gardendale,35071,AL
-85.862528,31.028007,River Oaks Golf Course,203 River Oaks Rd,Geneva,36340,AL
-85.946376,33.96101,Briarmeade Golf Course,505 Ralph Ave,Glencoe,35905,AL
-85.927814,33.884072,The Robert Trent Jones Golf Trail At Silver Lake,1 Sunbelt Pkwy,Glencoe,35905,AL
-85.927814,33.884072,The Robert Trent Jones Golf Trail Par 3 At Silver Lake,1 Sunbelt Pkwy,Glencoe,35905,AL
-86.099665,33.056103,Hatchett Creek Golf Course,Mount Olive Road,Goodwater,35072,AL
-86.940498,33.633344,Mountain View Golf Course,3200 Mountain View Dr,Graysville,35073,AL
-87.634199,32.693137,Lakeview Country Club,Millwood Road,Greensboro,36744,AL
-86.639508,31.846232,Greenville Country Club,902 Fort Dale Rd,Greenville,36037,AL
-86.686282,31.896111,The Robert Trent Jones Golf Trail At Cambrian Ridg,101 Sunbelt Pkwy,Greenville,36037,AL
-87.905842,33.971968,Pikeville Country Club,1310 Country Club Rd,Guin,35563,AL
-87.678015,30.265806,Gulf State Park Golf Course,20115 State Highway 135,Gulf Shores,36542,AL
-87.669298,30.304795,Craft Farms Golf Resort,3840 Cotton Creek Blvd,Gulf Shores,36542,AL
-87.888474,30.235553,Kiva Dunes,815 Plantation Rd,Gulf Shores,36542,AL
-87.773899,30.251587,Peninsula Golf & Racquet Club,20 Peninsula Blvd,Gulf Shores,36542,AL
-87.701114,30.270101,The Golf Club of the Wharf,520 Clubhouse Dr,Gulf Shores,36542,AL
-86.217249,34.369603,Lake Guntersville State Park Golf Course,7966 Al Highway 227,Guntersville,35976,AL
-86.255397,34.394562,Gunter's Landing,1000 Gunters Landing Rd,Guntersville,35976,AL
-86.388367,34.374594,Stoney Mountain Golf Course,5200 Georgia Mountain Rd,Guntersville,35976,AL
-87.604364,34.277349,Haleyville Country Club,1331 Airport Road,Haleyville,35565,AL
